"﻿missionId","missionName","missionLaunchDate","missionOrigin","countriesAllowed","coordinators'Name","missionDuration (in months)","missionType","missionDescription","employmentRequirements","employmentRequirementsNo","age","minimum years of experience","qualifications","occupations","minimum computer skills required","language required","secondary language","cargo for?","cargo required","quantity required (for each)","LocationOfTheDestination","state",
"7003","null","30/09/2022","Austria","Austria","Angela Sexton","31","infrastructure","Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec","builder","3","24-50","5yr","MIT","general practitioner","advanced","english","hausa, bengali, telugu","mission","concrete, desserts, water","51","null","null",
"7006","null","28/10/2022","Austria","Austria","Hilda Neal","29","railways, town planning","nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit","designer","3","18-32","10yr","BE","manufacturer","expert","english","hausa, bengali, telugu","journey","chicken","391","null","null",
"7009","null","8/9/2025","United Kingdom","United Kingdom","Megan Dixon","88","roads","turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit","builder","3","24-50","5yr","ME","painter","intermediate","english","punjabi, mandarin, french","journey","soups","57","null","null",
"7012","null","1/2/2023","Austria","Austria","Macey Finley","56","roads, architecture","pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet","nurse","3","24-50","9yr","ME","designer","advanced","english","javanese","journeyAndMission","soups, pies","217","null","null",
"7015","null","26/04/2021","United States","United States","Jolene Park","84","town planning","dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla","general practitioner","3","24-50","4yr","MBS","surgeon","advanced","english","javanese","journeyAndMission","desserts, cereals, sandwiches, surgical","24","null","null",
"7018","null","22/07/2024","United States","United States","Nina Santana","95","town planning","mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non","designer","3","18-50","1yr","MBBS","surgeon","expert","english","arabic","journeyAndMission","concrete, pasta","153","null","null",
"7021","null","19/07/2025","Austria","Austria","Adara Savage","86","town planning","et, euismod et, commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer","nurse","3","24-50","1yr","BE","electrician","advanced","english","arabic","journey","desserts","471","null","null",
"7024","null","25/05/2023","United Kingdom","United Kingdom","Gay Campos","37","agriculture","blandit enim consequat purus. Maecenas libero est, congue a, aliquet vel, vulputate eu, odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada","builder","3","24-50","2yr","MS","nurse","advanced","english","bengali, hausa","journey","pasta, surgical","114","null","null",
"7027","null","2/7/2024","Austria","Austria","Fay Gallegos","52","town planning","non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan interdum libero dui","designer","3","18-32","7yr","MBS","electrician","advanced","english","greek, russian","mission","pasta, surgical","481","null","null",
"7030","null","26/12/2023","United Kingdom","United Kingdom","Courtney Hicks","34","railways","Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci","painter","3","24-50","8yr","BE","surgeon","advanced","english","russian, arabic","journeyAndMission","","277","null","null",
